name,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($),Case material_Aluminum,Case material_Gold/Steel,Case material_Palladium,Case material_Platinum,Case material_Red gold,Case material_Rose gold,Case material_Silver,Case material_Steel,Case material_White gold,Case material_Yellow gold,Movement_Automatic,Movement_Manual winding,Movement_Quartz
6,2001,6,451,0,259,,14922.0,False,False,False,False,False,False,False,False,True,False,False,True,False
18,2019,3,641,2,96,1526.0,130801.0,False,False,False,False,False,False,False,True,False,False,True,False,False
0,1906,6,414,0,148,,6347.0,False,False,False,False,False,False,False,False,False,True,True,False,False
18,2017,6,109,2,247,,82500.0,False,False,False,False,False,False,False,True,False,False,True,False,False
18,2015,6,414,2,247,,121999.0,False,False,False,False,False,False,False,True,False,False,True,False,False
11,2021,6,162,0,133,860.0,12784.0,False,False,False,False,False,False,False,False,True,False,False,True,False
18,2022,3,681,2,219,,129500.0,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2023,5,6,2,196,,31278.0,False,False,False,False,False,True,False,False,False,False,False,True,False
4,2022,6,497,2,218,,81000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2017,1,713,2,247,,167000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
4,2023,5,312,2,259,,136784.0,False,False,False,False,False,False,False,False,True,False,True,False,False
21,2023,6,800,0,247,,44588.0,False,False,False,False,False,True,False,False,False,False,True,False,False
27,2024,3,744,2,259,,55567.0,False,False,False,False,False,True,False,False,False,False,True,False,False
18,2019,6,721,2,247,,129999.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1,2017,6,579,2,219,,59500.0,False,False,False,True,False,False,False,False,False,False,True,False,False
2,2010,6,665,2,145,,70154.0,False,False,False,True,False,False,False,False,False,False,True,False,False
18,2016,3,721,2,78,,121893.0,False,False,False,False,False,True,False,False,False,False,True,False,False
18,2022,6,414,2,247,,165000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
12,2018,5,397,2,246,,35000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,1990,6,451,0,259,,24555.0,False,False,False,False,False,True,False,False,False,False,True,False,False
18,1985,1,109,2,259,,47549.0,False,False,False,False,False,False,False,False,False,True,False,False,True
1,2023,6,371,1,259,,55274.0,False,False,False,False,False,True,False,False,False,False,True,False,False
18,2012,6,229,0,259,,53546.0,False,False,False,False,False,False,False,True,False,False,True,False,False
26,1982,5,800,2,115,,6236.0,False,False,False,False,False,False,False,False,False,True,True,False,False
21,2006,5,188,2,259,,66814.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,1967,6,49,0,259,,11124.0,False,False,False,False,False,False,False,False,False,True,False,True,False
