name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
17,0,3,2024,4,552,2,744,1288.2493375126646,154228.0
20,0,7,2017,5,453,2,485,1385.4423602330987,52427.0
6,0,3,2022,5,396,1,85,989.7980354216342,18485.0
6,0,7,2020,5,81,0,506,1017.8760197630929,16703.0
4,0,5,2023,4,547,2,824,1398.6684653047118,132495.0
17,0,5,2014,5,552,2,838,1256.6370614359173,119950.0
4,0,3,2023,4,594,2,824,1398.6684653047118,404995.0
21,2,1,2022,3,488,2,824,1520.0,299500.0
17,0,5,2021,3,526,2,229,1520.0,130175.0
0,1,0,1900,1,11,2,18,1847.4528298516477,13682.0
10,2,6,1980,5,102,0,554,855.2985999398212,17463.0
6,1,7,1998,1,380,0,444,855.2985999398212,11752.0
17,1,5,2020,5,552,2,423,1520.53084433746,106233.0
17,0,5,2021,0,525,2,395,1720.0,160616.0
6,0,5,1963,5,134,0,680,962.1127501618741,19500.0
24,0,3,2003,5,592,2,405,1017.8760197630929,52466.0
17,2,3,2023,3,567,2,506,804.247719318987,84519.0
17,0,5,2019,4,532,2,824,1256.6370614359173,135000.0
24,0,5,2022,5,592,2,405,1017.8760197630929,23620.0
17,0,5,2022,5,526,2,570,1520.0,100109.0
4,0,0,2022,3,486,2,744,1182.3698111050544,195000.0
17,0,5,2024,3,553,2,596,1288.2493375126646,153616.0
17,0,5,1996,5,221,2,353,1075.2100856911068,97437.0
17,0,5,2000,1,221,2,127,1075.2100856911068,52326.0
8,0,7,2023,5,550,2,85,1256.6370614359173,79063.0
13,1,7,2019,5,428,0,747,1530.3200000000002,172200.0
6,0,6,2020,3,590,2,609,1104.4661672776617,46700.0
6,0,6,2020,4,363,2,164,1046.3467031862506,66814.0
4,0,5,2023,3,460,2,33,1307.4051987179282,94096.0
6,0,3,2001,4,383,2,485,1225.4174844408687,121766.0
6,1,7,1979,5,633,0,824,1182.3698111050544,9500.0
17,0,6,2008,4,527,1,212,1256.6370614359173,164250.0
6,1,7,2011,5,352,2,814,962.1127501618741,28999.0
6,0,6,2003,5,396,3,329,1017.8760197630929,26169.0
